                                                                              30 Sep 2017 19:26:05
 AGI Educational Alliance Partner
Place-Ames-Sensor-Ames_Ground_Station-To-Satellite-CySat1:  Access Summary Report


Ames_Ground_Station-To-CySat1
-----------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1    30 Sep 2017 23:22:19.732    30 Sep 2017 23:25:48.184           208.452
                       2     1 Oct 2017 00:58:54.604     1 Oct 2017 01:02:13.873           199.269
                       3     1 Oct 2017 05:50:00.020     1 Oct 2017 05:54:13.110           253.090
                       4     2 Oct 2017 00:06:12.686     2 Oct 2017 00:10:27.106           254.420
                       5     2 Oct 2017 04:58:15.121     2 Oct 2017 05:01:27.508           192.387
                       6     2 Oct 2017 06:34:35.325     2 Oct 2017 06:38:11.593           216.268
                       7     2 Oct 2017 23:14:33.638     2 Oct 2017 23:18:02.356           208.718
                       8     3 Oct 2017 00:51:08.792     3 Oct 2017 00:54:27.863           199.071
                       9     3 Oct 2017 05:42:14.068     3 Oct 2017 05:46:27.195           253.127
                      10     3 Oct 2017 23:58:26.763     4 Oct 2017 00:02:41.155           254.393
                      11     4 Oct 2017 04:50:29.108     4 Oct 2017 04:53:41.700           192.592
                      12     4 Oct 2017 06:26:49.481     4 Oct 2017 06:30:25.516           216.035
                      13     4 Oct 2017 23:06:47.543     4 Oct 2017 23:10:16.525           208.982
                      14     5 Oct 2017 00:43:22.975     5 Oct 2017 00:46:41.853           198.878
                      15     5 Oct 2017 05:34:28.113     5 Oct 2017 05:38:41.279           253.166
                      16     5 Oct 2017 23:50:40.840     5 Oct 2017 23:54:55.204           254.364
                      17     6 Oct 2017 04:42:43.094     6 Oct 2017 04:45:55.891           192.796
                      18     6 Oct 2017 06:19:03.637     6 Oct 2017 06:22:39.438           215.801
                      19     6 Oct 2017 22:59:01.449     6 Oct 2017 23:02:30.694           209.244
                      20     7 Oct 2017 00:35:37.161     7 Oct 2017 00:38:55.848           198.686
                      21     7 Oct 2017 05:26:42.158     7 Oct 2017 05:30:55.364           253.205
                      22     7 Oct 2017 23:42:54.917     7 Oct 2017 23:47:09.253           254.335
                      23     8 Oct 2017 04:34:57.081     8 Oct 2017 04:38:10.081           193.000
                      24     8 Oct 2017 06:11:17.793     8 Oct 2017 06:14:53.360           215.567
                      25     8 Oct 2017 22:51:15.356     8 Oct 2017 22:54:44.862           209.506
                      26     9 Oct 2017 00:27:51.345     9 Oct 2017 00:31:09.837           198.492
                      27     9 Oct 2017 05:18:56.203     9 Oct 2017 05:23:09.448           253.244
                      28     9 Oct 2017 23:35:08.995     9 Oct 2017 23:39:23.301           254.306
                      29    10 Oct 2017 04:27:11.069    10 Oct 2017 04:30:24.271           193.202
                      30    10 Oct 2017 06:03:31.950    10 Oct 2017 06:07:07.281           215.331
                      31    10 Oct 2017 22:43:29.263    10 Oct 2017 22:46:59.030           209.767
                      32    11 Oct 2017 00:20:05.532    11 Oct 2017 00:23:23.827           198.296
                      33    11 Oct 2017 05:11:10.249    11 Oct 2017 05:15:23.532           253.283
                      34    11 Oct 2017 23:27:23.076    11 Oct 2017 23:31:37.350           254.273
                      35    12 Oct 2017 04:19:25.057    12 Oct 2017 04:22:38.461           193.404
                      36    12 Oct 2017 05:55:46.107    12 Oct 2017 05:59:21.202           215.095
                      37    12 Oct 2017 22:35:43.171    12 Oct 2017 22:39:13.195           210.024
                      38    13 Oct 2017 00:12:19.715    13 Oct 2017 00:15:37.818           198.102
                      39    13 Oct 2017 05:03:24.295    13 Oct 2017 05:07:37.616           253.321
                      40    13 Oct 2017 23:19:37.154    13 Oct 2017 23:23:51.398           254.244
                      41    14 Oct 2017 04:11:39.045    14 Oct 2017 04:14:52.651           193.606
                      42    14 Oct 2017 05:48:00.265    14 Oct 2017 05:51:35.123           214.858
                      43    14 Oct 2017 22:27:57.080    14 Oct 2017 22:31:27.362           210.282
                      44    15 Oct 2017 00:04:33.902    15 Oct 2017 00:07:51.808           197.906
                      45    15 Oct 2017 04:55:38.341    15 Oct 2017 04:59:51.700           253.359
                      46    15 Oct 2017 23:11:51.235    15 Oct 2017 23:16:05.447           254.212
                      47    16 Oct 2017 04:03:53.032    16 Oct 2017 04:07:06.840           193.808
                      48    16 Oct 2017 05:40:14.423    16 Oct 2017 05:43:49.043           214.620
                      49    16 Oct 2017 22:20:10.989    16 Oct 2017 22:23:41.528           210.539
                      50    16 Oct 2017 23:56:48.088    17 Oct 2017 00:00:05.794           197.706
                      51    17 Oct 2017 04:47:52.387    17 Oct 2017 04:52:05.783           253.396
                      52    17 Oct 2017 23:04:05.313    17 Oct 2017 23:08:19.495           254.181
                      53    18 Oct 2017 03:56:07.020    18 Oct 2017 03:59:21.033           194.013
                      54    18 Oct 2017 05:32:28.582    18 Oct 2017 05:36:02.962           214.380
                      55    18 Oct 2017 22:12:24.899    18 Oct 2017 22:15:55.694           210.795
                      56    18 Oct 2017 23:49:02.272    18 Oct 2017 23:52:19.784           197.512
                      57    19 Oct 2017 04:40:06.433    19 Oct 2017 04:44:19.866           253.433
                      58    19 Oct 2017 22:56:19.391    19 Oct 2017 23:00:33.542           254.151
                      59    20 Oct 2017 03:48:21.008    20 Oct 2017 03:51:35.222           194.214
                      60    20 Oct 2017 05:24:42.741    20 Oct 2017 05:28:16.880           214.139
                      61    20 Oct 2017 22:04:38.809    20 Oct 2017 22:08:09.859           211.050
                      62    20 Oct 2017 23:41:16.456    20 Oct 2017 23:44:33.773           197.318
                      63    21 Oct 2017 04:32:20.479    21 Oct 2017 04:36:33.948           253.470
                      64    21 Oct 2017 22:48:33.470    21 Oct 2017 22:52:47.590           254.120
                      65    22 Oct 2017 03:40:34.996    22 Oct 2017 03:43:49.411           194.415
                      66    22 Oct 2017 05:16:56.900    22 Oct 2017 05:20:30.798           213.898
                      67    22 Oct 2017 21:56:52.719    22 Oct 2017 22:00:24.024           211.305
                      68    22 Oct 2017 23:33:30.642    22 Oct 2017 23:36:47.763           197.121
                      69    23 Oct 2017 04:24:34.525    23 Oct 2017 04:28:48.031           253.506
                      70    23 Oct 2017 22:40:47.551    23 Oct 2017 22:45:01.637           254.087
                      71    24 Oct 2017 03:32:48.984    24 Oct 2017 03:36:03.599           194.615
                      72    24 Oct 2017 05:09:11.060    24 Oct 2017 05:12:44.716           213.656
                      73    24 Oct 2017 21:49:06.630    24 Oct 2017 21:52:38.189           211.559
                      74    24 Oct 2017 23:25:44.833    24 Oct 2017 23:29:01.752           196.919
                      75    25 Oct 2017 04:16:48.571    25 Oct 2017 04:21:02.113           253.542
                      76    25 Oct 2017 22:33:01.629    25 Oct 2017 22:37:15.685           254.056
                      77    26 Oct 2017 03:25:02.973    26 Oct 2017 03:28:17.788           194.815
                      78    26 Oct 2017 05:01:25.220    26 Oct 2017 05:04:58.633           213.413
                      79    26 Oct 2017 21:41:20.542    26 Oct 2017 21:44:52.353           211.811
                      80    26 Oct 2017 23:17:59.019    26 Oct 2017 23:21:15.740           196.721
                      81    27 Oct 2017 04:09:02.618    27 Oct 2017 04:13:16.196           253.577
                      82    27 Oct 2017 22:25:15.711    27 Oct 2017 22:29:29.733           254.022
                      83    28 Oct 2017 03:17:16.962    28 Oct 2017 03:20:31.976           195.014
                      84    28 Oct 2017 04:53:39.381    28 Oct 2017 04:57:12.550           213.169
                      85    28 Oct 2017 21:33:34.455    28 Oct 2017 21:37:06.517           212.062
                      86    28 Oct 2017 23:10:13.207    28 Oct 2017 23:13:29.730           196.522
                      87    29 Oct 2017 04:01:16.665    29 Oct 2017 04:05:30.278           253.613
                      88    29 Oct 2017 22:17:29.791    29 Oct 2017 22:21:43.780           253.989
                      89    30 Oct 2017 03:09:30.951    30 Oct 2017 03:12:46.164           195.214
                      90    30 Oct 2017 04:45:53.542    30 Oct 2017 04:49:26.466           212.924
                      91    30 Oct 2017 21:25:48.368    30 Oct 2017 21:29:20.680           212.312
                      92    30 Oct 2017 23:02:27.393    30 Oct 2017 23:05:43.720           196.327
                      93    31 Oct 2017 03:53:30.712    31 Oct 2017 03:57:44.359           253.647
                      94    31 Oct 2017 22:09:43.868    31 Oct 2017 22:13:57.827           253.959
                      95     1 Nov 2017 03:01:44.939     1 Nov 2017 03:05:00.353           195.413
                      96     1 Nov 2017 04:38:07.704     1 Nov 2017 04:41:40.381           212.677
                      97     1 Nov 2017 21:18:02.282     1 Nov 2017 21:21:34.842           212.560
                      98     1 Nov 2017 22:54:41.581     1 Nov 2017 22:57:57.707           196.126
                      99     2 Nov 2017 03:45:44.759     2 Nov 2017 03:49:58.441           253.682
                     100     2 Nov 2017 22:01:57.949     2 Nov 2017 22:06:11.874           253.925
                     101     3 Nov 2017 02:53:58.928     3 Nov 2017 02:57:14.540           195.612
                     102     3 Nov 2017 04:30:21.866     3 Nov 2017 04:33:54.296           212.430
                     103     3 Nov 2017 21:10:16.196     3 Nov 2017 21:13:49.004           212.809
                     104     3 Nov 2017 22:46:55.765     3 Nov 2017 22:50:11.696           195.930
                     105     4 Nov 2017 03:37:58.806     4 Nov 2017 03:42:12.522           253.716
                     106     4 Nov 2017 21:54:12.029     4 Nov 2017 21:58:25.921           253.891
                     107     5 Nov 2017 02:46:12.917     5 Nov 2017 02:49:28.727           195.810
                     108     5 Nov 2017 04:22:36.028     5 Nov 2017 04:26:08.208           212.179
                     109     5 Nov 2017 21:02:30.110     5 Nov 2017 21:06:03.166           213.056
                     110     5 Nov 2017 22:39:09.953     5 Nov 2017 22:42:25.683           195.730
                     111     6 Nov 2017 03:30:12.853     6 Nov 2017 03:34:26.602           253.750
                     112     6 Nov 2017 21:46:26.111     6 Nov 2017 21:50:39.967           253.857
                     113     7 Nov 2017 02:38:26.907     7 Nov 2017 02:41:42.914           196.008
                     114     7 Nov 2017 04:14:50.191     7 Nov 2017 04:18:22.122           211.931
                     115     7 Nov 2017 20:54:44.025     7 Nov 2017 20:58:17.328           213.303
                     116     7 Nov 2017 22:31:24.142     7 Nov 2017 22:34:39.675           195.533
                     117     8 Nov 2017 03:22:26.901     8 Nov 2017 03:26:40.683           253.783
                     118     8 Nov 2017 21:38:40.192     8 Nov 2017 21:42:54.014           253.822
                     119     9 Nov 2017 02:30:40.897     9 Nov 2017 02:33:57.101           196.204
                     120     9 Nov 2017 04:07:04.355     9 Nov 2017 04:10:36.036           211.681
                     121     9 Nov 2017 20:46:57.941     9 Nov 2017 20:50:31.489           213.548
                     122     9 Nov 2017 22:23:38.331     9 Nov 2017 22:26:53.663           195.332
                     123    10 Nov 2017 03:14:40.948    10 Nov 2017 03:18:54.764           253.816
                     124    10 Nov 2017 21:30:54.274    10 Nov 2017 21:35:08.061           253.786
                     125    11 Nov 2017 02:22:54.886    11 Nov 2017 02:26:11.288           196.402
                     126    11 Nov 2017 03:59:18.519    11 Nov 2017 04:02:49.949           211.430
                     127    11 Nov 2017 20:39:11.858    11 Nov 2017 20:42:45.650           213.792
                     128    11 Nov 2017 22:15:52.520    11 Nov 2017 22:19:07.652           195.132
                     129    12 Nov 2017 03:06:54.996    12 Nov 2017 03:11:08.845           253.848
                     130    12 Nov 2017 21:23:08.356    12 Nov 2017 21:27:22.107           253.751
                     131    13 Nov 2017 02:15:08.876    13 Nov 2017 02:18:25.477           196.601
                     132    13 Nov 2017 03:51:32.683    13 Nov 2017 03:55:03.861           211.178
                     133    13 Nov 2017 20:31:25.775    13 Nov 2017 20:34:59.810           214.034
                     134    13 Nov 2017 22:08:06.708    13 Nov 2017 22:11:21.640           194.932
                     135    14 Nov 2017 02:59:09.044    14 Nov 2017 03:03:22.925           253.880
                     136    14 Nov 2017 21:15:22.439    14 Nov 2017 21:19:36.153           253.715
                     137    15 Nov 2017 02:07:22.866    15 Nov 2017 02:10:39.664           196.798
                     138    15 Nov 2017 03:43:46.848    15 Nov 2017 03:47:17.773           210.924
                     139    15 Nov 2017 20:23:39.693    15 Nov 2017 20:27:13.969           214.276
                     140    15 Nov 2017 22:00:20.897    15 Nov 2017 22:03:35.627           194.730
                     141    16 Nov 2017 02:51:23.092    16 Nov 2017 02:55:37.004           253.912
                     142    16 Nov 2017 21:07:36.521    16 Nov 2017 21:11:50.199           253.678
                     143    17 Nov 2017 01:59:36.855    17 Nov 2017 02:02:53.850           196.994
                     144    17 Nov 2017 03:36:01.013    17 Nov 2017 03:39:31.684           210.670
                     145    17 Nov 2017 20:15:53.611    17 Nov 2017 20:19:28.128           214.518
                     146    17 Nov 2017 21:52:35.086    17 Nov 2017 21:55:49.615           194.528
                     147    18 Nov 2017 02:43:37.140    18 Nov 2017 02:47:51.083           253.944
                     148    18 Nov 2017 20:59:50.603    18 Nov 2017 21:04:04.245           253.641
                     149    19 Nov 2017 01:51:50.846    19 Nov 2017 01:55:08.036           197.190
                     150    19 Nov 2017 03:28:15.179    19 Nov 2017 03:31:45.592           210.413
                     151    19 Nov 2017 20:08:07.529    19 Nov 2017 20:11:42.287           214.758
                     152    19 Nov 2017 21:44:49.278    19 Nov 2017 21:48:03.602           194.324
                     153    20 Nov 2017 02:35:51.184    20 Nov 2017 02:40:05.163           253.978
                     154    20 Nov 2017 20:52:04.686    20 Nov 2017 20:56:18.290           253.604
                     155    21 Nov 2017 01:44:04.836    21 Nov 2017 01:47:22.221           197.385
                     156    21 Nov 2017 03:20:29.345    21 Nov 2017 03:23:59.503           210.158
                     157    21 Nov 2017 20:00:21.448    21 Nov 2017 20:03:56.445           214.997
                     158    21 Nov 2017 21:37:03.466    21 Nov 2017 21:40:17.589           194.122
                     159    22 Nov 2017 02:28:05.233    22 Nov 2017 02:32:19.242           254.009
                     160    22 Nov 2017 20:44:18.770    22 Nov 2017 20:48:32.336           253.567
                     161    23 Nov 2017 01:36:18.827    23 Nov 2017 01:39:36.407           197.580
                     162    23 Nov 2017 03:12:43.512    23 Nov 2017 03:16:13.413           209.901
                     163    23 Nov 2017 19:52:35.368    23 Nov 2017 19:56:10.603           215.236
                     164    23 Nov 2017 21:29:17.657    23 Nov 2017 21:32:31.576           193.920
                     165    24 Nov 2017 02:20:19.282    24 Nov 2017 02:24:33.321           254.039
                     166    24 Nov 2017 20:36:32.853    24 Nov 2017 20:40:46.382           253.529
                     167    25 Nov 2017 01:28:32.818    25 Nov 2017 01:31:50.592           197.774
                     168    25 Nov 2017 03:04:57.679    25 Nov 2017 03:08:27.321           209.641
                     169    25 Nov 2017 19:44:49.289    25 Nov 2017 19:48:24.761           215.472
                     170    25 Nov 2017 21:21:31.852    25 Nov 2017 21:24:45.564           193.712
                     171    26 Nov 2017 02:12:33.330    26 Nov 2017 02:16:47.400           254.069
                     172    26 Nov 2017 20:28:46.937    26 Nov 2017 20:33:00.428           253.491
                     173    27 Nov 2017 01:20:46.808    27 Nov 2017 01:24:04.777           197.969
                     174    27 Nov 2017 02:57:11.847    27 Nov 2017 03:00:41.228           209.381
                     175    27 Nov 2017 19:37:03.210    27 Nov 2017 19:40:38.918           215.708
                     176    27 Nov 2017 21:13:46.042    27 Nov 2017 21:16:59.551           193.509
                     177    28 Nov 2017 02:04:47.379    28 Nov 2017 02:09:01.478           254.099
                     178    28 Nov 2017 20:21:01.023    28 Nov 2017 20:25:14.473           253.450
                     179    29 Nov 2017 01:13:00.799    29 Nov 2017 01:16:18.962           198.163
                     180    29 Nov 2017 02:49:26.016    29 Nov 2017 02:52:55.136           209.120
                     181    29 Nov 2017 19:29:17.131    29 Nov 2017 19:32:53.074           215.943
                     182    29 Nov 2017 21:06:00.232    29 Nov 2017 21:09:13.538           193.306
                     183    30 Nov 2017 01:57:01.428    30 Nov 2017 02:01:15.556           254.128
                     184    30 Nov 2017 20:13:15.106    30 Nov 2017 20:17:28.518           253.412
                     185     1 Dec 2017 01:05:14.790     1 Dec 2017 01:08:33.147           198.357
                     186     1 Dec 2017 02:41:40.184     1 Dec 2017 02:45:09.043           208.858
                     187     1 Dec 2017 19:21:31.053     1 Dec 2017 19:25:07.230           216.178
                     188     1 Dec 2017 20:58:14.423     1 Dec 2017 21:01:27.524           193.102
                     189     2 Dec 2017 01:49:15.477     2 Dec 2017 01:53:29.634           254.157
                     190     2 Dec 2017 20:05:29.189     2 Dec 2017 20:09:42.563           253.374
                     191     3 Dec 2017 00:57:28.781     3 Dec 2017 01:00:47.331           198.550
                     192     3 Dec 2017 02:33:54.353     3 Dec 2017 02:37:22.949           208.596
                     193     3 Dec 2017 19:13:44.975     3 Dec 2017 19:17:21.386           216.412
                     194     3 Dec 2017 20:50:28.614     3 Dec 2017 20:53:41.510           192.896
                     195     4 Dec 2017 01:41:29.526     4 Dec 2017 01:45:43.712           254.185
                     196     4 Dec 2017 19:57:43.275     4 Dec 2017 20:01:56.608           253.333
                     197     5 Dec 2017 00:49:42.773     5 Dec 2017 00:53:01.519           198.746
                     198     5 Dec 2017 02:26:08.523     5 Dec 2017 02:29:36.859           208.336
                     199     5 Dec 2017 19:05:58.898     5 Dec 2017 19:09:35.542           216.644
                     200     5 Dec 2017 20:42:42.805     5 Dec 2017 20:45:55.496           192.691
                     201     6 Dec 2017 01:33:43.576     6 Dec 2017 01:37:57.789           254.213
                     202     6 Dec 2017 19:49:57.360     6 Dec 2017 19:54:10.653           253.293
                     203     7 Dec 2017 00:41:56.765     7 Dec 2017 00:45:15.703           198.938
                     204     7 Dec 2017 02:18:22.693     7 Dec 2017 02:21:50.765           208.072
                     205     7 Dec 2017 18:58:12.822     7 Dec 2017 19:01:49.697           216.875
